category,word,tfidf
mv,moderna,3.010299956639812
mv,effective,2.4082399653118496
mv,shot,2.1072099696478683
mv,ceo,2.1072099696478683
mv,vaccinated,1.8370798439033231
mv,booster,1.6329598612473983
mv,vaccines,1.6329598612473983
mv,unvaccinated,1.2779061968168433
mv,dose,1.020599913279624
mv,pfizer,0.9030899869919435
pv,mandates,5.418539921951662
pv,mandate,4.515449934959718
pv,workers,3.83371859045053
pv,vaccinated,3.2659197224947967
pv,mandatory,3.0617997398388717
pv,federal,3.010299956639812
pv,countries,3.010299956639812
pv,unvaccinated,2.9817811259059677
pv,vaccines,2.2453198092151725
pv,ramaphosa,2.1298436613614053
gv,booster,5.10299956639812
gv,jab,2.709269960975831
gv,boosters,2.5558123936336865
gv,vaccinated,1.8370798439033231
gv,moderna,1.806179973983887
gv,getting,1.6242035759078992
gv,dose,1.4288398785914735
gv,pfizer,1.2041199826559248
gv,shot,1.2041199826559248
gv,day,1.020599913279624
c,variants,0.49975494643319973
c,monday,0.4082399653118496
c,fucking,0.4082399653118496
c,post,0.4082399653118496
c,vaccinated,0.4082399653118496
c,love,0.3748162098248998
c,actually,0.3748162098248998
c,shot,0.3010299956639812
c,strain,0.3010299956639812
c,breaking,0.3010299956639812
pc,trump,3.407749858178249
pc,fear,3.407749858178249
pc,china,2.9817811259059677
pc,restrictions,1.6329598612473983
pc,fauci,1.6329598612473983
pc,travel,1.6329598612473983
pc,biden,1.505149978319906
pc,countries,1.505149978319906
pc,deaths,1.505149978319906
pc,mandates,1.505149978319906
cd,poll,6.020599913279624
cd,nations,3.612359947967774
cd,christmas,2.709269960975831
cd,test,2.6237134687742985
cd,home,2.4082399653118496
cd,coronavirus,1.999019785732799
cd,dr,1.806179973983887
cd,help,1.6329598612473983
cd,health,1.6329598612473983
cd,live,1.6329598612473983
cs,deaths,4.816479930623699
cs,nov,4.685656054995092
cs,nation,3.83371859045053
cs,england,3.407749858178249
cs,reported,3.407749858178249
cs,ramaphosa,2.9817811259059677
cs,coronavirus,2.8735909419908983
cs,rate,2.709269960975831
cs,boosters,2.5558123936336865
cs,breaking,2.4082399653118496
ot,check,0.9030899869919435
ot,nation,0.8519374645445622
ot,post,0.8164799306236992
ot,please,0.6246936830414996
ot,friday,0.6123599479677744
ot,day,0.6123599479677744
ot,support,0.6123599479677744
ot,tomorrow,0.6020599913279624
ot,christmas,0.6020599913279624
ot,test,0.49975494643319973
