id,text,coding,sentiment
"""1465718678897537034"""," Have you checked out our British Judo Championship Hub?All key information for both weekends of the British Judo Championships will be shared here; including entry lists, ticket information and Covid guidelinesCheck it out  https://t.co/1TLguaQl9R#BJAChamps2021",,
"""1465718685683916805""","RT @JesseRodriguez: There were no COVID-related deaths yesterday in New York City, where the vaccination rate is over 90%.",,
"""1465718683683246080""",Opinion | Red states are now paying people not to get vaccinated https://t.co/JBVQGUkYaR,,
"""1465718684186460163""","Biden vaccine mandate: White House tells business to go ahead despite court pause So, nothing to fear people. Just keep jabbing! https://t.co/61xbyVqv0X",,
"""1465718668151689218""",Covid-19 Booster Jab was called out by the end ofJanuary https://t.co/wJ5hMUAeWx,,
"""1465718688397635586""",I have to go get my covid shot today ,,
"""1465718689974689796""",Probably find out that whoever has the cough at the PMS news conference has covid,,
"""1465718694110273548""","Technology created by Jonathan Rothberg and his team, used by South African scientists to discover and decode coronavirus variant Omicron. https://t.co/otAOeDCeii",,
"""1465718692776488967""","German parliament to vote on compulsory vaccination of the general population this year, says designated Chancellor #Scholz (#SPD) &amp; blames the unvaccinated for the current wave of infections.#Berlin #Germany https://t.co/Pjaax2Myyt #Breaking https://t.co/2BTpnJxVQS",,
"""1465718693422407685""",that vaccine got my ass sick https://t.co/7hz7IUdZ0T,,
"""1465718691090292747""",when i get covid from this job i hope it ***** me,,
"""1465718696085581824""",The Canadian Medical Association endorsed restrictions and lockdowns. Some of its members still do not see patients in person. But please commission a report to seek more funding to address the very surgical backlog restrictions and lockdowns caused.https://t.co/Gukzasniwq,,
"""1465718697838972937""",J.D. Vance: Shut Down the Government Until Vaccine Mandate Ends https://t.co/jeXRws8FaE via @BreitbartNews,,
"""1465718698396766209""",Evidence That They KNEW the Covid Jab Would Kill Thousands https://t.co/uXirynGdPV Dr. Vernon Coleman - KILLER JABS.,,
"""1465718698073800715""",Just had my third COVID vaccination.  My first two were Astra Zenica but my third was Pfizer,,
"""1465718703186657280""","Can anyone understand what mumbling, bumbling #BorisJohnson is saying? #COVID19 #PressConference",,
"""1465718703081897986""",The only vice that cannot be forgiven is hypocrisy   https://t.co/tVLMBgVBmr,,
"""1465718704256139267""",Two Doctors in Israel Diagnosed With Omicron COVID Variant 3 doses . https://t.co/VQf20wgd5K,,
"""1465718705120333833""",My unvaccinated maga neighbor is in the hospital with severe COVID. Can anyone guess the first thing he said he will do if and when he gets out of the hospital?#GetVaccinatedNow,,
"""1465718707695632395""",NHS England Hospital Data 30th NovemberAdmissions Inpatients    Mechanical Ventilation #coronavirus #COVID19 #SARSCoV2 https://t.co/cSsO36CJCK,,
"""1465718709507473419""","A doctor in South Africa , one of the first persons to suspect the emergence of a different virus strain, assured that the symptoms of Omicron are 'mild,' amid rising concerns over the new Covid variant https://t.co/gvGvLZz2df",,
